age,income,credit_score,debt_amount,monthly_expenses,employment_years,loan_amount,existing_credits,interest_rate,payment_history,default
56.0,21233.45,668.0,10065.24,6422.78,0.2,32752.97,3.0,12.78,63.31,1.0
24.0,31679.47,,1671.88,10000.0,1.7,21669.4,2.0,10.61,79.7,0.0
49.0,23035.0,648.0,29469.97,10000.0,0.6,23715.96,5.0,13.77,57.77,1.0
34.0,38295.78,652.0,13802.58,10000.0,2.8,27881.49,1.0,10.58,82.34,1.0
22.0,59542.62,693.0,13662.2,10000.0,3.4,18222.61,5.0,10.42,83.01,1.0
33.0,64425.39,753.0,25910.28,10000.0,0.6,49586.3,4.0,11.13,90.17,0.0
23.0,40070.28,610.0,16930.66,10000.0,6.1,28794.69,4.0,16.29,73.27,1.0
25.0,31287.99,559.0,20328.39,10000.0,3.0,31078.09,3.0,16.42,58.13,1.0
26.0,66702.72,572.0,30163.47,10000.0,2.4,4894.04,1.0,9.99,81.59,1.0
33.0,87353.93,480.0,24965.83,10000.0,0.3,18751.72,7.0,10.59,87.01,1.0
45.0,37947.13,545.0,2510.53,10000.0,1.6,46114.25,2.0,10.94,97.15,0.0
45.0,47663.4,716.0,31486.19,10000.0,0.2,27630.87,0.0,10.01,99.06,0.0
43.0,22008.03,628.0,37012.99,10000.0,2.4,41091.97,4.0,12.78,71.83,1.0
37.0,,689.0,13448.44,6596.06,5.9,27787.26,5.0,10.67,75.81,1.0
33.0,32006.28,571.0,50160.37,8805.32,4.4,19815.41,2.0,13.65,82.54,1.0
37.0,36772.89,664.0,31239.39,10000.0,1.7,35774.36,2.0,8.57,60.56,0.0
61.0,39714.56,489.0,242.59,10000.0,9.4,24292.38,7.0,15.0,95.51,0.0
49.0,45960.87,644.0,34396.72,10000.0,3.8,14506.66,0.0,18.1,100.0,1.0
52.0,20000.0,691.0,55685.83,7219.85,5.5,15614.82,1.0,14.37,83.59,1.0
38.0,53633.32,567.0,8927.64,10000.0,1.4,28425.63,0.0,10.56,76.98,1.0
46.0,26028.6,646.0,3646.55,7217.69,2.6,17381.72,0.0,15.98,67.6,0.0
42.0,65806.61,676.0,40008.44,10000.0,3.5,39896.04,7.0,17.72,96.12,1.0
38.0,45438.47,542.0,11237.51,10000.0,1.0,23222.76,6.0,11.75,89.94,0.0
40.0,26623.57,722.0,25502.4,9036.78,13.0,31781.1,0.0,11.84,87.86,0.0
38.0,89194.3,646.0,31596.37,10000.0,1.8,25099.08,5.0,10.32,100.0,1.0
52.0,27531.43,,26881.1,6041.38,6.9,18055.35,7.0,15.34,100.0,1.0
62.0,25794.66,636.0,6526.67,9168.6,0.4,26002.12,5.0,,69.74,0.0
36.0,22146.66,646.0,60852.34,10000.0,1.6,18844.41,0.0,13.16,93.26,1.0
18.0,26818.52,693.0,16022.08,10000.0,3.2,50743.83,4.0,8.41,82.69,0.0
40.0,69903.96,642.0,3597.49,10000.0,8.9,24934.66,4.0,12.7,64.2,1.0
34.0,34553.48,681.0,26887.79,10000.0,3.1,36694.98,1.0,14.21,75.61,1.0
36.0,26622.06,807.0,27064.36,10000.0,0.5,20675.19,7.0,10.07,86.59,1.0
56.0,30390.53,651.0,,9620.41,1.0,32351.23,7.0,10.41,75.23,1.0
43.0,24415.59,674.0,10294.87,6537.59,1.8,36300.2,6.0,14.19,75.24,0.0
35.0,43608.86,614.0,44741.17,10000.0,1.6,25311.91,1.0,9.8,100.0,1.0
53.0,46314.29,655.0,17856.69,10000.0,1.2,31207.79,4.0,18.61,65.64,1.0
36.0,47561.9,673.0,32922.39,10000.0,1.1,32264.93,6.0,10.63,45.03,0.0
41.0,24047.04,625.0,8832.26,7981.87,0.9,29565.61,4.0,18.5,98.41,0.0
39.0,48812.71,795.0,23911.21,10000.0,0.7,42781.55,4.0,17.87,93.61,1.0
38.0,73990.58,431.0,60095.45,10000.0,21.1,47316.5,5.0,14.32,74.85,1.0
18.0,39305.49,497.0,38961.99,10000.0,1.5,45432.37,1.0,14.16,57.05,1.0
50.0,20000.0,602.0,26175.64,6172.89,3.7,19412.46,3.0,13.86,90.88,0.0
51.0,46363.14,848.0,35894.78,10000.0,13.1,38501.17,2.0,10.35,98.64,1.0
54.0,29711.9,571.0,11545.34,10000.0,3.7,40608.36,6.0,13.88,82.83,0.0
24.0,42574.29,697.0,15962.65,10000.0,1.2,35441.23,6.0,10.06,100.0,1.0
50.0,45280.49,660.0,15904.94,10000.0,0.6,,4.0,10.69,81.81,0.0
28.0,46311.08,558.0,63.98,10000.0,4.8,33731.33,2.0,10.79,100.0,1.0
52.0,69047.45,733.0,14136.92,10000.0,2.8,22777.35,3.0,11.69,64.42,1.0
39.0,25419.14,558.0,39348.31,8976.58,0.8,35173.74,1.0,12.0,95.76,1.0
26.0,38819.13,535.0,17548.85,10000.0,3.5,40844.61,0.0,7.37,78.13,1.0
39.0,64626.22,525.0,18474.76,10000.0,5.8,35446.89,7.0,14.25,89.04,1.0
18.0,30134.75,781.0,14936.36,6903.29,0.3,28831.09,6.0,11.01,71.95,0.0
47.0,39147.91,746.0,31810.42,10000.0,0.7,24805.51,1.0,14.1,81.62,0.0
58.0,46098.29,699.0,27492.85,10000.0,1.2,21809.08,2.0,6.71,91.23,0.0
35.0,27309.03,751.0,28719.29,10000.0,0.7,38465.12,1.0,11.84,84.02,0.0
46.0,49129.78,671.0,12252.72,10000.0,4.5,33602.29,4.0,13.9,90.88,0.0
55.0,29791.21,615.0,58401.8,7594.7,1.9,36828.29,3.0,9.19,71.02,1.0
53.0,20000.0,673.0,29460.48,8278.17,1.6,40665.88,1.0,13.96,100.0,1.0
29.0,83579.87,769.0,37535.24,10000.0,2.7,52475.55,4.0,13.52,67.67,1.0
44.0,42958.28,571.0,12157.09,10000.0,4.2,22020.78,3.0,10.32,58.6,1.0
40.0,34042.09,494.0,20512.82,8000.84,0.3,19927.42,4.0,11.82,77.05,1.0
48.0,33685.36,673.0,75.24,10000.0,1.5,24038.03,7.0,6.41,75.99,1.0
35.0,46911.36,661.0,27562.19,10000.0,1.9,18925.39,5.0,11.99,72.63,1.0
46.0,20694.03,710.0,1375.0,8008.12,3.6,24727.61,4.0,15.09,71.77,0.0
28.0,26753.54,554.0,24873.35,10000.0,0.9,29346.26,3.0,11.93,98.84,1.0
35.0,57844.66,694.0,22801.76,10000.0,1.9,24437.18,6.0,9.9,78.82,1.0
23.0,23407.42,585.0,39323.11,4942.75,0.7,42732.74,2.0,10.82,100.0,1.0
29.0,20258.25,656.0,36577.41,7941.47,10.7,26096.5,3.0,13.53,69.83,0.0
54.0,76558.23,674.0,56459.2,10000.0,4.6,20448.83,0.0,12.25,75.25,1.0
38.0,36794.87,662.0,11489.54,10000.0,1.8,19897.72,0.0,14.4,83.34,1.0
30.0,54536.56,689.0,704.38,10000.0,10.4,37850.89,2.0,7.14,87.05,1.0
40.0,23957.64,482.0,49858.14,7488.1,2.5,,3.0,8.54,56.13,1.0
28.0,73753.82,519.0,49251.77,10000.0,0.6,29446.28,1.0,9.95,81.46,1.0
50.0,23421.78,625.0,13624.1,6783.99,3.3,32477.19,7.0,15.16,83.95,1.0
31.0,39711.64,640.0,14256.28,10000.0,2.3,40179.07,3.0,13.71,88.47,0.0
42.0,20887.83,692.0,19011.89,8813.22,3.5,18437.93,4.0,12.47,83.54,0.0
42.0,59833.28,609.0,24081.79,10000.0,1.2,24649.52,2.0,10.28,78.08,1.0
40.0,86989.58,643.0,32313.1,10000.0,1.5,29758.02,4.0,14.31,79.2,1.0
52.0,33507.77,631.0,10097.8,10000.0,1.3,44694.1,5.0,12.73,100.0,0.0
33.0,32860.57,591.0,40648.42,9857.64,7.2,35787.14,7.0,16.39,65.35,0.0
50.0,58586.26,591.0,10946.37,10000.0,2.0,39624.14,3.0,12.28,80.32,1.0
38.0,76791.69,659.0,17867.5,10000.0,2.3,1553.47,5.0,13.47,100.0,1.0
60.0,35436.78,616.0,30816.51,10000.0,3.2,32143.74,4.0,10.83,63.96,0.0
31.0,36743.03,653.0,3981.46,10000.0,6.4,27419.3,3.0,4.63,100.0,0.0
31.0,23254.3,612.0,40933.81,10000.0,0.3,32175.66,6.0,14.39,72.96,1.0
36.0,34152.06,556.0,10068.05,10000.0,3.8,30977.75,0.0,15.06,100.0,1.0
50.0,56572.94,523.0,20743.33,10000.0,1.8,13806.59,1.0,10.34,45.91,0.0
54.0,31610.74,595.0,19590.31,7759.54,0.5,22817.84,3.0,8.57,96.07,1.0
25.0,63934.77,679.0,29624.34,,2.4,18780.9,4.0,12.12,74.85,0.0
61.0,26981.77,652.0,35158.93,8046.26,3.5,52779.9,2.0,12.6,100.0,1.0
43.0,45152.1,669.0,22476.58,10000.0,3.1,15825.47,1.0,14.1,57.74,1.0
29.0,51564.34,698.0,46318.71,10000.0,0.7,41072.59,6.0,8.78,62.4,1.0
46.0,40308.15,646.0,27330.33,10000.0,3.4,29221.27,0.0,12.14,79.0,1.0
52.0,36961.69,539.0,36345.85,10000.0,3.8,35605.03,3.0,,58.77,0.0
42.0,55019.69,652.0,27542.99,10000.0,2.6,36465.41,3.0,11.71,51.42,1.0
26.0,51236.26,696.0,5580.33,10000.0,4.8,41190.74,2.0,4.01,86.61,1.0
30.0,32522.15,656.0,26969.17,10000.0,3.8,23118.51,3.0,14.24,94.54,0.0
58.0,23480.38,582.0,26704.83,7529.24,1.1,25968.04,6.0,12.96,89.85,1.0
43.0,47263.03,653.0,20417.22,10000.0,0.1,48692.54,6.0,11.44,82.73,1.0
48.0,103744.86,591.0,59981.77,10000.0,3.1,36438.99,3.0,9.48,55.27,1.0
20.0,20126.01,737.0,10966.43,5097.48,1.8,35747.02,7.0,12.12,89.1,1.0
33.0,64699.37,696.0,22689.21,10000.0,4.3,32753.14,4.0,9.42,99.53,1.0
53.0,41401.88,702.0,19119.72,10000.0,0.4,46754.97,4.0,6.18,59.35,0.0
33.0,41188.53,608.0,20075.02,10000.0,0.9,33169.77,7.0,11.85,93.27,1.0
18.0,37800.81,617.0,36617.02,10000.0,0.2,14121.78,5.0,10.97,85.87,1.0
41.0,20000.0,649.0,19681.33,5572.33,0.3,56152.67,0.0,12.1,61.74,1.0
22.0,38743.59,770.0,5700.26,10000.0,1.8,29672.97,1.0,14.13,100.0,1.0
30.0,53637.32,539.0,8934.37,10000.0,4.4,36067.06,3.0,15.78,88.37,1.0
47.0,26536.18,634.0,3078.67,5421.79,1.1,42242.98,2.0,13.8,100.0,1.0
35.0,44797.07,682.0,22262.23,10000.0,,39991.48,0.0,7.95,80.95,1.0
46.0,20000.0,680.0,18122.06,8368.76,1.0,27430.22,7.0,13.9,81.89,0.0
54.0,78542.62,611.0,16480.18,10000.0,1.4,25867.82,7.0,13.15,77.54,0.0
38.0,31077.13,595.0,45434.87,7612.37,1.1,27031.16,5.0,13.06,100.0,1.0
41.0,33370.93,581.0,53783.04,10000.0,1.8,30718.35,7.0,8.26,79.32,1.0
42.0,53093.19,748.0,19626.84,10000.0,6.9,30375.29,5.0,14.16,86.36,1.0
18.0,26052.32,577.0,,7349.46,1.0,16047.0,2.0,,100.0,1.0
42.0,25281.64,850.0,45658.25,10000.0,9.0,23582.72,4.0,11.17,86.95,0.0
37.0,25693.01,547.0,10930.12,10000.0,3.2,26621.1,3.0,7.08,87.05,0.0
50.0,68643.87,597.0,49941.86,10000.0,0.7,23520.91,5.0,11.06,77.22,1.0
62.0,20000.0,590.0,16695.49,9181.74,2.5,22019.85,3.0,10.68,86.38,1.0
45.0,30062.18,603.0,16701.87,8344.38,0.5,19131.01,0.0,9.22,63.44,0.0
43.0,24057.04,722.0,40545.34,9758.41,2.5,23300.18,2.0,5.76,82.16,1.0
24.0,42144.87,596.0,8858.92,,2.4,30819.04,3.0,15.58,67.92,0.0
50.0,31446.17,651.0,16752.11,10000.0,6.9,18944.33,2.0,10.63,99.87,0.0
47.0,42684.11,659.0,30118.61,10000.0,3.0,32135.95,3.0,12.03,100.0,1.0
43.0,31788.44,650.0,48279.9,6627.48,1.9,36307.47,6.0,12.68,68.91,1.0
42.0,41050.19,585.0,52401.59,10000.0,0.8,26073.69,7.0,14.28,63.63,1.0
34.0,141525.07,534.0,38884.82,10000.0,0.9,35377.32,1.0,10.64,100.0,1.0
43.0,20000.0,695.0,20871.66,5061.06,3.3,12683.81,3.0,12.7,96.34,0.0
46.0,45852.89,620.0,3792.93,10000.0,,36618.69,7.0,15.47,94.0,0.0
21.0,29835.69,657.0,38027.85,7875.18,3.8,42589.18,5.0,,92.21,0.0
45.0,27524.01,653.0,20903.31,8133.02,1.8,13238.21,1.0,9.85,100.0,1.0
26.0,48231.5,482.0,43117.28,10000.0,4.9,42922.34,5.0,12.31,65.05,1.0
33.0,25397.81,700.0,7967.73,5708.58,3.3,23488.25,6.0,16.26,64.43,1.0
50.0,20000.0,588.0,29651.85,6938.12,1.3,27227.7,6.0,11.91,100.0,1.0
40.0,43887.27,611.0,55776.48,10000.0,0.3,16131.73,6.0,13.67,53.34,1.0
42.0,46584.61,588.0,42665.74,10000.0,0.4,39142.23,7.0,16.09,60.85,0.0
68.0,24309.09,690.0,35225.72,10000.0,4.9,54007.84,7.0,12.06,85.75,0.0
33.0,27335.34,608.0,27206.5,6951.43,0.2,23331.99,1.0,15.23,81.09,
,37767.52,589.0,29994.26,8047.43,8.1,33658.69,3.0,9.44,100.0,1.0
22.0,61674.22,532.0,1351.91,10000.0,1.2,39017.83,7.0,14.63,85.11,1.0
38.0,33852.66,840.0,25509.82,10000.0,1.2,52119.93,1.0,14.16,64.48,0.0
22.0,20404.66,516.0,23548.46,6409.47,0.6,40683.41,1.0,14.67,100.0,0.0
59.0,20000.0,570.0,15571.53,7832.36,2.1,48220.25,1.0,13.88,78.31,0.0
43.0,48383.73,512.0,5813.56,10000.0,2.0,49336.18,2.0,7.86,85.59,1.0
32.0,51412.64,677.0,41484.19,10000.0,4.6,35615.25,4.0,15.5,72.33,0.0
33.0,20068.33,600.0,9054.13,8889.01,1.4,20886.09,0.0,12.02,62.31,1.0
44.0,35010.38,610.0,23181.53,,1.3,22220.37,5.0,10.04,95.35,0.0
19.0,68744.88,609.0,22682.0,10000.0,1.7,15484.45,0.0,,96.16,1.0
19.0,20000.0,578.0,11543.54,6756.74,4.7,32772.38,6.0,17.43,65.07,1.0
34.0,20000.0,725.0,19587.43,4154.58,8.8,31697.62,2.0,14.71,70.66,0.0
40.0,25271.38,621.0,35055.5,8536.61,3.2,3967.67,3.0,6.35,47.69,1.0
39.0,30042.04,538.0,50344.82,10000.0,2.5,19102.08,1.0,8.64,100.0,1.0
34.0,88539.69,683.0,5476.22,10000.0,2.7,27720.34,3.0,5.64,100.0,1.0
54.0,23914.81,543.0,24536.86,9407.08,3.3,16843.59,2.0,7.56,47.13,1.0
31.0,31388.53,612.0,32708.06,8560.0,5.3,36546.84,5.0,9.81,85.87,0.0
37.0,70578.87,573.0,21800.08,10000.0,1.4,38018.96,2.0,14.64,86.1,0.0
24.0,43454.41,605.0,29957.92,10000.0,23.8,43502.66,4.0,14.87,86.13,0.0
26.0,44559.96,515.0,6120.83,10000.0,2.1,27184.79,3.0,14.43,65.52,1.0
50.0,60676.19,584.0,18730.55,10000.0,3.3,17485.44,0.0,15.19,81.33,1.0
25.0,20000.0,583.0,18855.6,9267.64,7.7,26252.41,0.0,13.38,83.1,
60.0,51682.41,784.0,35135.51,10000.0,,31315.32,7.0,12.96,40.62,1.0
39.0,,639.0,31570.81,6120.77,2.8,16768.1,0.0,7.26,62.25,0.0
41.0,79665.92,549.0,13170.92,10000.0,0.4,21276.55,5.0,14.03,73.43,0.0
34.0,84266.79,514.0,19815.95,10000.0,2.0,17732.36,7.0,10.26,91.84,1.0
40.0,31738.93,564.0,56200.75,10000.0,3.7,37641.44,2.0,11.79,68.15,0.0
38.0,40118.74,594.0,30573.53,8871.54,5.6,18585.0,7.0,14.16,89.21,1.0
48.0,32224.69,708.0,31283.39,10000.0,3.7,30501.2,0.0,10.21,70.88,0.0
52.0,32619.87,717.0,34483.73,10000.0,6.0,27830.07,2.0,17.89,78.44,1.0
31.0,28368.99,677.0,32255.68,10000.0,1.7,25530.29,0.0,12.42,91.94,1.0
50.0,31794.4,696.0,4167.29,10000.0,1.3,25287.39,5.0,13.2,86.79,1.0
41.0,34332.44,579.0,17806.47,10000.0,3.3,21770.51,4.0,10.08,83.94,1.0
36.0,34835.28,662.0,14216.62,10000.0,4.7,23841.25,1.0,13.46,61.87,0.0
35.0,20000.0,683.0,24183.03,8027.3,4.7,26881.59,3.0,10.1,68.89,1.0
53.0,22557.6,687.0,20318.53,5600.8,0.1,39228.4,2.0,13.08,78.64,
42.0,20000.0,517.0,36266.36,6926.28,2.5,28975.29,4.0,14.55,71.21,1.0
56.0,30693.23,636.0,21795.1,10000.0,0.6,10454.29,3.0,7.64,90.25,0.0
36.0,34531.0,522.0,26494.98,10000.0,3.5,37942.66,1.0,19.55,62.27,1.0
24.0,20000.0,697.0,39800.69,7041.56,0.6,33443.66,2.0,17.14,66.85,1.0
38.0,37931.36,498.0,22021.22,10000.0,8.7,22933.22,5.0,14.06,68.42,1.0
63.0,37993.34,816.0,51896.52,10000.0,3.0,27897.38,4.0,12.85,86.99,1.0
32.0,44119.51,593.0,13726.6,10000.0,5.8,41790.37,1.0,21.55,86.38,1.0
58.0,24484.25,612.0,22637.47,9583.04,4.2,16531.91,4.0,11.83,57.93,1.0
18.0,48836.78,593.0,15831.49,10000.0,4.3,42086.67,7.0,9.92,77.57,1.0
26.0,28576.69,633.0,12705.17,10000.0,7.9,3602.85,3.0,13.51,84.25,0.0
30.0,83030.18,631.0,19430.46,10000.0,2.9,22917.68,7.0,8.61,68.94,1.0
37.0,22620.08,570.0,26279.63,10000.0,3.5,31472.3,1.0,8.39,48.16,1.0
51.0,21416.58,711.0,36116.65,5838.05,4.6,40871.46,5.0,13.22,100.0,1.0
32.0,42058.86,810.0,15604.17,10000.0,1.6,29625.21,1.0,11.04,88.1,0.0
54.0,34504.32,601.0,19059.58,10000.0,2.7,13237.23,1.0,16.53,86.5,1.0
28.0,49989.36,724.0,39710.98,10000.0,0.7,53964.01,2.0,9.91,85.68,1.0
,82103.22,615.0,19598.16,10000.0,2.5,34951.12,0.0,11.76,72.1,1.0
45.0,30746.44,746.0,20565.72,10000.0,0.8,50402.79,1.0,,85.09,1.0
21.0,57707.32,612.0,42906.22,10000.0,1.1,21987.72,3.0,6.36,72.07,1.0
40.0,35384.32,563.0,6485.15,10000.0,1.8,27342.56,7.0,8.2,74.08,1.0
39.0,26026.3,657.0,16617.52,5307.96,0.5,16031.53,0.0,13.67,91.48,1.0
53.0,29840.98,652.0,18254.3,10000.0,1.6,25011.24,2.0,14.9,68.39,1.0
49.0,39273.61,566.0,34968.24,7949.34,0.6,15553.58,7.0,12.87,100.0,1.0
25.0,56499.41,633.0,12185.48,10000.0,4.1,39227.74,5.0,10.11,76.3,0.0
28.0,37178.21,795.0,25977.3,7447.17,0.6,20887.76,0.0,15.79,87.7,1.0
44.0,30554.07,416.0,12210.52,8896.31,2.8,,5.0,7.96,82.66,1.0
52.0,22293.37,650.0,13483.39,9473.21,2.8,28567.67,1.0,16.14,74.41,0.0
36.0,20000.0,734.0,,9644.43,1.1,35107.84,5.0,14.44,68.5,1.0
40.0,48178.59,670.0,12558.71,10000.0,1.2,42403.38,5.0,10.05,100.0,0.0
37.0,38781.78,510.0,7596.78,10000.0,7.6,42306.2,0.0,12.5,68.94,1.0
46.0,29476.56,667.0,41309.6,10000.0,5.3,36436.75,6.0,14.82,46.08,1.0
40.0,23242.11,562.0,7002.15,8717.92,0.5,20562.34,3.0,11.7,55.95,0.0
49.0,28478.82,701.0,6618.74,9182.87,,32716.49,0.0,8.68,86.8,1.0
46.0,31201.1,687.0,16822.0,9385.26,4.7,31197.25,2.0,10.56,76.49,0.0
58.0,20000.0,666.0,34344.45,5097.93,7.4,20226.8,1.0,12.64,78.01,0.0
28.0,66769.26,593.0,38171.21,10000.0,1.8,21154.89,3.0,6.1,66.43,0.0
32.0,31928.16,764.0,8689.72,10000.0,0.5,41552.79,3.0,10.62,74.92,0.0
28.0,30519.85,494.0,3000.92,6899.02,3.7,5007.56,6.0,13.62,85.15,1.0
,20000.0,625.0,42457.91,9786.65,1.2,57610.56,4.0,12.98,76.13,0.0
18.0,28608.83,680.0,35273.62,6974.13,0.2,20019.53,2.0,11.54,81.13,0.0
29.0,20000.0,,23922.42,4286.33,1.2,22734.99,5.0,13.39,80.1,1.0
19.0,20513.9,726.0,4490.61,7457.96,1.6,27497.8,4.0,12.22,62.28,0.0
43.0,56757.34,787.0,24675.27,,0.2,25651.1,6.0,9.91,67.13,0.0
34.0,26140.72,605.0,3176.01,10000.0,0.7,37883.33,6.0,12.99,84.98,0.0
52.0,59183.21,584.0,29046.84,10000.0,0.8,9708.29,6.0,9.93,94.35,1.0
37.0,22549.43,613.0,13304.57,9888.43,0.7,15168.76,7.0,10.68,75.94,0.0
31.0,63464.8,655.0,7424.27,10000.0,4.1,25761.84,6.0,8.72,81.23,1.0
26.0,24466.4,688.0,30444.49,6631.55,11.9,28770.51,7.0,4.01,85.71,1.0
38.0,20000.0,733.0,25855.94,4281.03,1.8,35017.44,1.0,10.3,78.58,0.0
48.0,36926.57,413.0,32639.55,10000.0,2.9,32967.17,4.0,16.53,78.06,1.0
44.0,34637.23,591.0,4981.07,9145.17,1.1,9903.48,2.0,11.52,77.18,1.0
50.0,31020.89,654.0,310.5,10000.0,2.8,41577.71,1.0,10.08,85.18,1.0
42.0,20000.0,577.0,3142.81,5339.47,0.6,24776.42,7.0,11.73,72.61,0.0
58.0,20000.0,775.0,25455.92,6138.85,0.7,25393.04,4.0,12.01,100.0,1.0
38.0,79341.49,608.0,12781.62,10000.0,6.1,30508.74,1.0,12.7,96.59,1.0
56.0,58244.77,729.0,34330.63,10000.0,0.6,52492.63,5.0,15.18,77.6,1.0
47.0,63250.44,622.0,32122.38,10000.0,4.7,25403.25,7.0,14.65,73.37,1.0
31.0,52338.47,649.0,2359.4,10000.0,4.7,26963.5,0.0,15.64,61.8,0.0
25.0,51434.73,646.0,21298.22,10000.0,2.5,19911.03,0.0,10.09,77.89,1.0
37.0,30246.55,732.0,13852.3,6100.37,1.4,29914.89,0.0,10.37,95.36,0.0
40.0,31924.96,661.0,38383.84,9128.55,0.6,25734.16,2.0,11.63,55.3,0.0
44.0,25440.44,645.0,55183.06,10000.0,2.3,46906.28,2.0,13.76,90.93,1.0
61.0,29630.28,549.0,28924.71,10000.0,9.1,36578.41,2.0,9.94,56.74,1.0
52.0,24073.73,667.0,17934.83,6089.3,0.5,28712.41,5.0,9.7,94.87,0.0
20.0,47634.16,584.0,37813.15,10000.0,0.3,21148.3,4.0,6.05,78.31,0.0
31.0,34877.81,618.0,33083.74,10000.0,0.5,22027.68,3.0,8.34,70.82,0.0
51.0,48923.28,509.0,19904.66,10000.0,5.8,23179.74,5.0,18.64,64.23,0.0
73.0,32395.18,556.0,31496.29,10000.0,12.6,38463.94,0.0,10.18,77.48,1.0
,63451.0,710.0,26243.76,10000.0,5.7,43033.8,,7.5,83.41,0.0
36.0,48488.73,607.0,44185.31,10000.0,7.4,26316.58,2.0,12.78,83.56,1.0
36.0,83392.47,709.0,18135.32,10000.0,1.5,30184.97,7.0,9.17,78.78,0.0
19.0,71972.36,756.0,1527.24,10000.0,1.1,12208.95,7.0,8.21,85.27,0.0
34.0,35634.11,512.0,42550.49,10000.0,1.2,40165.56,5.0,13.23,79.36,1.0
37.0,28359.18,696.0,18507.81,10000.0,0.6,41425.6,5.0,16.66,83.18,0.0
34.0,28479.1,725.0,33829.76,10000.0,,25755.43,1.0,8.14,79.01,1.0
35.0,62453.15,658.0,7410.48,10000.0,6.6,32738.25,3.0,11.94,78.04,0.0
51.0,62313.83,731.0,3982.32,10000.0,3.4,45929.86,6.0,11.79,97.03,1.0
49.0,45911.3,561.0,40308.96,10000.0,1.0,32895.12,3.0,18.32,72.75,1.0
49.0,52212.87,562.0,16445.37,10000.0,2.6,27987.62,1.0,17.11,66.17,0.0
46.0,33759.27,689.0,11927.39,9070.68,5.9,28853.98,2.0,9.94,75.31,0.0
37.0,20000.0,730.0,28968.85,5707.99,0.4,41090.39,2.0,10.69,88.48,1.0
52.0,36109.22,521.0,44028.15,9472.78,,33148.47,2.0,8.41,93.03,1.0
26.0,109370.82,659.0,27035.32,10000.0,0.3,26408.84,5.0,16.45,100.0,1.0
41.0,35147.05,684.0,6724.57,10000.0,1.2,30546.71,3.0,11.18,75.61,1.0
57.0,59766.43,807.0,22458.17,10000.0,0.6,29077.61,6.0,8.11,75.31,1.0
45.0,51940.26,739.0,13322.12,10000.0,6.8,40877.28,0.0,12.78,71.16,0.0
30.0,25734.36,583.0,24525.83,6879.25,3.9,32283.37,0.0,12.55,52.39,1.0
24.0,36823.44,613.0,57496.26,10000.0,1.6,33830.99,3.0,9.08,100.0,0.0
65.0,96220.15,581.0,16122.88,10000.0,8.1,26306.53,0.0,13.29,59.2,1.0
28.0,108920.02,656.0,33783.8,10000.0,0.6,34510.91,4.0,17.75,71.89,1.0
32.0,22257.82,674.0,49557.9,6437.57,1.6,38371.24,7.0,14.83,75.73,1.0
50.0,62838.49,692.0,25242.87,10000.0,4.3,19529.87,1.0,16.45,85.18,1.0
44.0,72244.16,654.0,28714.59,10000.0,3.5,45281.99,4.0,13.4,79.58,1.0
43.0,60160.22,684.0,69333.0,10000.0,6.9,38820.82,1.0,5.85,68.95,1.0
23.0,29152.26,530.0,19071.15,7668.78,0.7,32415.82,5.0,17.76,59.57,0.0
21.0,20000.0,607.0,22792.35,9361.4,1.0,22085.49,4.0,12.96,86.38,0.0
40.0,33644.99,620.0,14354.5,8781.34,0.8,45472.38,2.0,7.51,70.16,1.0
60.0,56055.68,618.0,35079.6,10000.0,4.6,17979.75,4.0,8.54,77.19,1.0
34.0,45320.91,746.0,13225.2,10000.0,1.6,27292.84,1.0,16.49,78.44,1.0
39.0,39203.71,723.0,48866.32,10000.0,7.0,48277.71,7.0,11.67,71.55,1.0
47.0,108394.61,740.0,25187.36,10000.0,0.7,41094.19,7.0,6.6,96.06,1.0
,25314.8,518.0,5020.62,7930.87,4.1,16101.08,5.0,8.29,72.59,1.0
51.0,54381.35,725.0,27098.05,10000.0,4.0,25830.13,5.0,14.73,60.74,1.0
54.0,46316.02,557.0,27142.01,10000.0,2.5,29874.22,5.0,12.68,89.95,1.0
37.0,105556.43,702.0,17462.29,10000.0,0.8,17607.62,1.0,4.7,73.08,1.0
26.0,20000.0,658.0,17357.88,5311.77,0.2,26506.61,3.0,6.74,90.59,0.0
40.0,41251.75,632.0,46761.21,10000.0,2.9,36874.64,5.0,10.45,72.33,1.0
41.0,37075.94,542.0,51779.71,10000.0,1.6,50855.27,7.0,8.7,100.0,1.0
40.0,54537.67,739.0,22366.75,10000.0,1.4,39963.42,5.0,13.18,71.62,0.0
57.0,28105.51,649.0,20015.75,10000.0,4.5,38061.12,7.0,12.7,67.6,1.0
30.0,51433.95,482.0,27610.83,10000.0,0.8,25366.66,1.0,11.75,79.65,1.0
23.0,53912.58,636.0,23474.0,10000.0,0.6,32870.69,2.0,13.89,76.09,0.0
29.0,57900.37,537.0,30978.08,10000.0,0.8,22350.84,1.0,11.76,86.58,1.0
60.0,43542.36,627.0,34484.01,,1.8,30947.96,1.0,10.16,74.12,1.0
45.0,67790.25,751.0,21983.99,10000.0,5.0,25534.83,0.0,,90.34,0.0
58.0,,710.0,19387.77,10000.0,2.7,18524.1,2.0,7.21,75.54,0.0
44.0,40635.84,627.0,54903.44,10000.0,0.8,7296.58,4.0,12.71,94.83,1.0
23.0,92215.51,634.0,50829.99,10000.0,1.4,19856.03,5.0,14.38,60.48,1.0
